VANID	AGE	PCT_C	PCT_P	PCT_J	PCT_M	FN_HISP	LN_HISP	FL_HISP	BG_SEG	PCT_SD2	PCT_LD2	REG_DAYS	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	VF1	VF2	VF3	VF4	VF5	VF6	VF7	VF8	VF9	VF10	VF11	VF12	VF13	VF14	VF15	VF16	VF17	VF18	VF19	VF20	VF21	VF22	VF23	VF24	VF25	VF26	VF27	VF28	VF29	VF30	VF31	VF32	VF33	VF34	VF35	VF36	VF37	VF38	VF39	VF40	VF41	VF42	VF43	VF44	VF45	VF46	VF47	VF48	VF49	VF50	GPELIG	PPELIG	MPELIG	EPELIG	C04	C06	PP08D	PP08R	set_no	set_no2	dv	pv	gd_Aw	gd_2w	sd_Aw	sd_2w	pad	pmd	pff	rbe	rbw	hrbe	hrbm	hrbl	lpsd2	lpld2	v08	sd2_sc1	sd2_Sc2	sd2_sc3	v08_Score
1	81	0	0	0	0	4.2	0	4.2	24.1	71.7	51.1	5098	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	37.5	12.5	0	19	0	0	0	0	2	69	N	Y	N	 	N	 	 	Y	N	N	N	 	 	 	 	 	N	84	86.5	85.3	74
1	81	0	0	0	0	1.8	0	1.8	13.5	70.5	54.2	3830	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	100	42.9	75	72.2	0	0	0	0	2	20	N	Y	N	N	N	N	 	N	N	N	N	 	 	 	 	 	Y	55.1	60.8	58	92
1	96	0	0	0	0	5.4	0	5.4	22.5	68.2	57.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	87.5	75	80	81	0	0	1	0	2	75	N	Y	N	 	N	 	 	 	Y	N	N	 	 	 	 	Y	Y	68.3	63.2	65.7	99
9	58	0	10.8	0	0	2.5	0	2.5	34.8	80	68.8	6604	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	41	N	Y	N	N	N	N	 	N	N	Y	Y	 	 	 	 	 	N	93.6	90	91.8	79
9	77	0	0	0	0	0	.4	.4	12.4	86.4	71.4	4702	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	100	50	80	76.2	0	0	0	0	2	15	N	N	 	 	 	 	 	 	 	 	 	Y	N	N	 	N	Y	83.5	84.9	84.2	92
1	88	0	0	0	0	2	0	2	21.8	76	52.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	75	87.5	60	76.2	0	0	0	1	1	30	N	Y	Y	Y	N	N	 	N	N	N	Y	 	 	 	N	N	Y	79.2	74.4	76.8	99
1	36	0	0	0	0	2.3	.1	1.2	13.2	67.3	54.7	3133	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	66.7	33.3	66.7	53.3	0	0	0	0	1	18	N	Y	N	 	N	 	 	 	 	N	N	 	 	 	 	 	Y	71.2	66.3	68.7	84
1	52	0	0	0	0	2.4	0	2.4	9.3	60.9	56.3	2928	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	83.3	40	66.7	64.3	0	0	1	0	2	89	N	N	 	 	 	 	 	 	 	 	 	N	Y	N	 	Y	Y	67.1	71.7	69.4	97
3	49	0	12.6	0	0	1.7	0	1.7	44.9	84	70.4	6741	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	87.5	37.5	20	52.4	0	0	1	0	1	52	N	Y	N	 	N	 	 	Y	N	N	N	 	 	 	 	Y	Y	80.5	86.6	83.6	95
1	74	0	0	0	0	2.8	2	2.4	11.7	71.9	59.1	4801	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	75	75	80	76.2	0	0	0	0	1	89	N	Y	 	 	N	 	 	 	Y	N	N	N	N	Y	 	 	Y	66.8	70.5	68.7	92
